iter	RMSE
0	72.02737212
1	67.2599881
2	63.65826029
3	61.022283
4	58.67433483
5	56.72358033
6	55.15760128
7	53.46119861
8	52.20634255
9	51.18727658
10	50.52372424
11	49.83538128
12	49.2790548
13	48.64451321
14	48.20127186
15	47.40209518
16	47.10210537
17	46.60018235
18	46.3204369
19	45.69745765
20	45.30856388
21	44.81284297
22	44.57155655
23	44.30941918
24	43.79800491
25	43.48659638
26	43.15696393
27	42.93557854
28	42.84489847
29	42.37143999
30	42.06518804
31	41.84069636
32	41.6173714
33	41.3243573
34	40.9973953
35	40.71245409
36	40.64800165
37	40.13143905
38	39.82220655
39	39.28414522
40	39.21540308
41	38.69259292
42	38.31218093
43	37.63426694
44	37.57554115
45	37.29852139
46	36.97321824
47	36.19054573
48	36.14631655
49	35.92382342
50	35.38619191
51	35.19015123
52	35.15178623
53	34.76339151
54	34.49267182
55	34.26707246
56	33.77978655
57	33.66257426
58	33.29913959
59	33.20104446
60	32.75045971
61	32.55499963
62	32.25832566
63	31.90573148
64	31.64389791
65	31.33443464
66	30.91859685
67	30.59969925
68	30.41298578
69	30.24721145
70	30.04038848
71	30.00276788
72	29.65619093
73	29.62123372
74	29.36719592
75	29.3377806
76	29.00829787
77	28.92646289
78	28.84345396
79	28.81384335
80	28.48042974
81	28.30873711
82	27.9106141
83	27.61912615
84	27.32368432
85	26.86421335
86	26.51519466
87	26.33843066
88	26.03909859
89	25.68321194
90	25.44955126
91	25.37148339
92	25.31367215
93	25.14173244
94	24.88108061
95	24.80998012
96	24.73613017
97	24.69626133
98	24.33001394
99	24.28271079
