iter	Passed	Remaining
0	56	5558
1	58	2851
2	60	1952
3	62	1499
4	64	1225
5	66	1039
6	70	931
7	74	856
8	76	776
9	80	727
10	87	711
11	90	660
12	92	618
13	94	579
14	98	558
15	100	527
16	102	500
17	104	478
18	106	456
19	109	438
20	111	420
21	114	405
22	117	392
23	121	383
24	123	371
25	125	357
26	127	344
27	130	336
28	133	325
29	135	316
30	137	305
31	139	295
32	141	286
33	144	280
34	147	273
35	149	265
36	151	257
37	152	249
38	154	242
39	156	235
40	158	228
41	160	221
42	162	215
43	163	208
44	166	203
45	168	197
46	172	194
47	174	189
48	176	183
49	179	179
50	182	175
51	187	173
52	189	168
53	191	163
54	193	158
55	198	155
56	199	150
57	201	146
58	204	141
59	206	137
60	208	133
61	210	129
62	212	124
63	214	120
64	216	116
65	219	113
66	221	109
67	223	105
68	225	101
69	227	97
70	229	93
71	232	90
72	235	86
73	236	83
74	238	79
75	239	75
76	242	72
77	244	69
78	246	65
79	248	62
80	249	58
81	251	55
82	253	51
83	255	48
84	259	45
85	261	42
86	263	39
87	264	36
88	266	32
89	268	29
90	271	26
91	273	23
92	274	20
93	276	17
94	278	14
95	281	11
96	284	8
97	285	5
98	287	2
99	289	0
